city,state,country,type,lat,lon,date
Camden,NJ,US,ConnectHome,39.9259463,-75.1196199,
Jersey City,NJ,US,ConnectHome,40.7281575,-74.0776417,
Albany,GA,US,ConnectHome,31.5785074,-84.155741,
Atlanta,GA,US,ConnectHome,33.7489954,-84.3879824,
Choctaw Nation,,US,ConnectHome,33.8855987,-94.8082035,
Cleveland,OH,US,ConnectHome,41.49932,-81.6943605,
Denver,CO,US,ConnectHome,39.7392358,-104.990251,
Kansas City,MO,US,ConnectHome,39.0997265,-94.5785667,
Los Angeles,CA,US,ConnectHome,34.0522342,-118.2436849,
Memphis,TN,US,ConnectHome,35.1495343,-90.0489801,
Nashville,TN,US,ConnectHome,36.1626638,-86.7816016,
Meriden,CT,US,ConnectHome,41.5381535,-72.8070435,
Rockford,IL,US,ConnectHome,42.2711311,-89.0939952,
Tampa,FL,US,ConnectHome,27.950575,-82.4571776,
Washington,DC,US,ConnectHome,38.9071923,-77.0368707,
Seattle,WA,US,ConnectHome,47.6062095,-122.3320708,
New Orleans,LA,US,ConnectHome,29.9510658,-90.0715323,
Durham,NC,US,ConnectHome,35.9940329,-78.898619,
Amsterdam,,,Patchwork,52.3702157,4.8951679,6/23/16
Amsterdam,,,Patchwork,52.3702157,4.8951679,10/28/15
Amsterdam,,,Patchwork Pride Edition,52.3702157,4.8951679,8/5/16
Athens,,,Patchwork,37.9838096,23.7275388,12/10/15
Atlanta,,,Patchwork,33.7489954,-84.3879824,3/15/16
Atlanta,,,Patchwork Content Creators Edition,33.7489954,-84.3879824,5/17/16
Bangladesh,,,Patchwork,23.684994,90.356331,7/31/16
London,,,Patchwork,51.5073509,-0.1277583,11/23/15
Boston,,,Patchwork,42.3600825,-71.0588801,10/14/15
Boulder,,,Patchwork,40.0149856,-105.2705456,8/31/16
Brussels,,,Patchwork,50.8503396,4.3517103,1/29/16
Charlotte,,,Patchwork,35.2270869,-80.8431267,10/28/15
Chicago,,,Patchwork,41.8781136,-87.6297982,5/24/16
Austin,,,Patchwork CODE2040 Edition,30.267153,-97.7430608,10/16/15
Chicago,,,Patchwork CODE2040,41.8781136,-87.6297982,9/27/15
Durham,,,Patchwork CODE2040,35.9940329,-78.898619,11/13/15
Dallas,,,Patchwork,32.7766642,-96.7969879,8/30/16
El Paso,,,Patchwork,31.7618778,-106.4850217,3/18/16
Houston,,,Patchwork,29.7604267,-95.3698028,10/15/15
Kobe,,,Patchwork,34.690083,135.1955112,12/14/15
Kyoto,,,Patchwork,35.0116363,135.7680294,12/16/15
London,,,Patchwork,51.5073509,-0.1277583,1/25/16
Madison,,,Patchwork,43.0730517,-89.4012302,4/6/16
Manila,,,Patchwork,14.5995124,120.9842195,10/22/15
New York,,,Patchwork,40.7127837,-74.0059413,2/10/16
New York,,,Patchwork Women Who Code Edition,40.7127837,-74.0059413,7/27/16
Osaka,,,Patchwork,34.6937378,135.5021651,7/9/16
Paris,,,Patchwork,48.856614,2.3522219,12/3/15
Philadelphia,,,Patchwork,39.9525839,-75.1652215,4/12/16
Portland,,,Patchwork,45.5230622,-122.6764816,3/29/16
Reading,,,Patchwork,51.4543,0.9781,4/19/16
San Francisco,,,Patchwork SHPE Edition,37.7749295,-122.4194155,7/7/16
San Francisco,,,Patchwork Pride Edition,37.7749295,-122.4194155,6/22/16
Seattle,,,Patchwork,47.6062095,-122.3320708,7/21/16
Singapore,,,Patchwork,1.352083,103.819836,6/25/16
Singapore,,,Patchwork FOSSASIA,1.352083,103.819836,3/18/16
St. Louis,,,Patchwork,38.6270025,-90.1994042,4/26/16
Tampa Bay,,,Patchwork,27.763383,-82.5436722,8/30/16
Thessaloniki,,,Patchwork DEVIT,40.6400629,22.9444191,5/20/16
Tokyo,,,Patchwork,35.6894875,139.6917064,8/22/16
Tokyo,,,Patchwork,35.6894875,139.6917064,9/3/15
Tokyo,,,Patchwork,35.6894875,139.6917064,12/19/15
Toronto,,,Patchwork,43.653226,-79.3831843,6/16/16
Washington DC,,,Patchwork Code for Progress Edition,38.9071923,-77.0368707,10/22/15
Abuja,,Nigeria,Rails Girls Sponsorship,9.0764785,7.398574,
Ahmedabad,,India,Django Girls Ahmedabad Sponsorship,23.022505,72.5713621,
Akure,,Nigeria,Django Girls Akure Sponsorship,7.2571325,5.2057909,
Amsterdam,,Netherlands,Django Girls Amsterdam Sponsorship,52.3702157,4.8951679,
Athens,,Greece,Rails Girls Athens Sponsorship,33.9519347,-83.357567,
Athens,,US,All the Nerdy Ladies Holiday Mixer Sponsorship,33.9519347,-83.357567,
Atlanta,,US,Girl Develop It Rails Bridge & Rails Girls Atlanta Sponsorship,33.7489954,-84.3879824,
Auckland,,New Zealand,Girl Code Auckland Clojure Bridge Auckland Sponsorship,-36.8484597,174.7633315,
