created_at,total_pushes,total_pull_requests,total_comments,total_issues,follows,gists,watches
2013-01-01,82462,2489,12895,6773,1805,6624,5921
2013-01-02,227417,11309,32440,13125,2891,7845,18807
2013-01-03,258707,13400,35583,13319,4340,8273,21044
2013-01-04,240176,12396,34092,14625,3941,8766,19723
2013-01-05,101921,3056,13324,6380,2266,4980,9625
2013-01-06,124450,4072,16342,7974,2511,6477,9814
2013-01-07,283131,14736,41319,16062,3744,7938,25084
2013-01-08,309474,16072,43694,17075,4616,8406,22645
2013-01-09,321662,16836,44239,16947,4258,7764,22274
2013-01-10,326459,17380,44144,16818,4333,7147,22371
2013-01-11,278435,14795,37241,14028,3304,6686,19657
2013-01-12,106648,3390,14449,7340,2281,5499,11017
2013-01-13,135379,4409,17118,8515,2614,4806,9444
2013-01-14,319357,16946,44393,17301,6839,7311,21447
2013-01-15,330187,17472,46272,18148,4343,6980,24732
2013-01-16,334514,18096,46409,18414,4034,7844,22741
2013-01-17,332630,17704,48881,18934,3846,7475,21372
2013-01-18,282592,15047,37311,14423,3243,7205,23267
2013-01-19,112877,3422,14167,6709,2457,5295,12668
2013-01-20,138110,4482,18525,8894,2874,6534,10347
2013-01-21,309526,15726,43158,16476,3493,7456,25788
2013-01-22,345399,18499,47639,18299,4238,8834,23082
2013-01-23,349157,19018,48304,17310,4647,14022,25519
2013-01-24,346348,18423,46761,17377,4672,12663,24946
2013-01-25,290472,15379,38078,15005,3861,7199,21764
2013-01-26,122341,3783,15425,7472,2871,5580,12390
2013-01-27,148307,4828,19831,9733,3401,5804,10066
2013-01-28,346178,18725,48832,18750,4291,7573,23584
2013-01-29,359014,19437,50579,18727,5017,7679,30846
2013-01-30,356957,19487,49783,19148,4330,8376,36153
2013-01-31,351757,18898,48987,18456,4981,7534,34516
2013-02-01,298059,15874,39722,18793,3757,5283,33490
2013-02-02,117977,3937,14980,7149,3050,3312,16123
2013-02-03,141622,4849,20025,9478,3245,3426,14505
2013-02-04,338979,18632,49440,20793,4514,6180,40514
2013-02-05,353619,19842,49277,19278,4214,6880,35282
2013-02-06,362196,20163,49824,18852,4574,6755,35016
2013-02-07,356504,19484,47514,18355,3961,6680,35351
2013-02-08,300012,16520,40611,15745,3536,5850,35170
2013-02-09,114992,3757,16200,7385,2516,3542,14424
2013-02-10,145754,4919,23658,10978,2394,3525,13299
2013-02-11,339675,18763,47468,18151,3503,6353,37601
2013-02-12,355136,19557,50131,21809,3833,180680,35148
2013-02-13,354071,19404,49338,18611,3713,6661,31442
2013-02-14,333637,18852,53096,17803,4092,6522,32973
